classificaiton,data_point_value,vocabulary_code,data_point_value_synonym,favor_more_specific
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,metastatic,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,metastatic neoplasm,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,metastatic tumor,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,metastic,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,neoplasm metastatic,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,neoplasm secondary,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,"neoplasm, metastatic",TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,secondary neoplasm,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,secondary tumor,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,tumor embolus,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,tumor metastatic,TRUE
Metastatic Histology,"neoplasm, metastatic (8000/6)",8000/6,tumor secondary,TRUE
Metastatic Histology,"neoplasm, malignant, uncertain whether primary or metastatic (8000/9)",8000/9,neoplasm malignant uncertain whether primary or metastatic,NULL
Metastatic Histology,"neoplasm, malignant, uncertain whether primary or metastatic (8000/9)",8000/9,"neoplasm, malignant, uncertain whether primary or metastatic",NULL
Metastatic Histology,"neoplasm, malignant, uncertain whether primary or metastatic (8000/9)",8000/9,uncertain whether primary or metastatic malignant neoplasm,NULL
Metastatic Histology,"neoplasm, malignant, uncertain whether primary or metastatic (8000/9)",8000/9,uncertain whether primary or metastatic malignant unclassified tumor,NULL
Metastatic Histology,"neoplasm, malignant, uncertain whether primary or metastatic (8000/9)",8000/9,unclassified tumor malignant uncertain whether primary or metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,adenoid cystic carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,carcinoma metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,"carcinoma, metastatic",NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic breast carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clear cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clear cell renal cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clear-cell adenocarcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clear-cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clearcell adenocarcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic clearcell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic colon carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic colorectal carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic esophageal carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic esophagus carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic high grade carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic high-grade carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic highgrade carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic lung carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic moderately differentiated carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic moderately-differentiated carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic mucinous carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic non small cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic non smallcell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic non-small cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic papillary carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic poorly differentiated carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic poorly-differentiated carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic prostate carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic prostatic carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic rectal carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic renal carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic renal cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic serous carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic small cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic small-cell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,metastatic smallcell carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,moderately differentiated carcinoma metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,moderately-differentiated carcinoma metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,poorly differentiated carcinoma,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,poorly differentiated carcinoma metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,poorly-differentiated carcinoma metastatic,NULL
Metastatic Histology,"carcinoma, metastatic (8010/6)",8010/6,secondary carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,metastatic moderately differentiated squamous cell carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,metastatic moderately-differentiated squamous cell carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,metastatic poorly differentiated squamous cell carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,metastatic poorly-differentiated squamous cell carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,metastatic squamous cell carcinoma,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,moderately differentiated squamous cell carcinoma metastatic,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,moderately-differentiated squamous cell carcinoma metastatic,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,poorly differentiated squamous cell carcinoma metastatic,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,poorly-differentiated squamous cell carcinoma metastatic,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,squamous cell carcinoma metastatic,NULL
Metastatic Histology,"squamous cell carcinoma, metastatic (8070/6)",8070/6,"squamous cell carcinoma, metastatic",NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,adenocarcinoma metastatic,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,"adenocarcinoma, metastatic",NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic breast adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic clear cell adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic clear cell renal cell adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic colon adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic colorectal adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic esophageal adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic esophagus adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic high grade adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic high-grade adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic highgrade adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic lung adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic moderately differentiated adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic moderately-differentiated adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic mucinous adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic papillary adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic poorly differentiated adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic poorly-differentiated adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic prostate adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic prostatic adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic rectal adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic renal adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic renal cell adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,metastatic serous adenocarcinoma,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,moderately differentiated adenocarcinoma metastatic,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,moderately-differentiated adenocarcinoma metastatic,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,poorly differentiated adenocarcinoma metastatic,NULL
Metastatic Histology,"adenocarcinoma, metastatic (8140/6)",8140/6,poorly-differentiated adenocarcinoma metastatic,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine ca,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine cancer,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine carcinoma,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine carcinomas,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine neoplasm,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine tumor,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,neuroendocrine tumour,NULL
Metastatic Histology,neuroendocrine carcinoma (8246/3),8246/3,poorly differentiated neuroendocrine neoplasm,NULL
Metastatic Histology,metastatic signet ring cell carcinoma (8490/6),8490/6,krukenberg tumor,NULL
Metastatic Histology,metastatic signet ring cell carcinoma (8490/6),8490/6,metastatic signet ring cell carcinoma,NULL
Metastatic Histology,metastasizing leiomyoma (8898/1),8898/1,metastasizing leiomyoma,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,adamantinoma malignant,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,ameloblastoma malignant,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,ameloblastoma metastasizing,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,"ameloblastoma, metastasizing",NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,malignant adamantinoma,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,malignant ameloblastoma,NULL
Metastatic Histology,"ameloblastoma, metastasizing (9310/3)",9310/3,metastasizing ameloblastoma,NULL
Metastatic Histology,metastatic angiosarcoma,metastatic angiosarcoma,metastatic angiosarcoma,NULL
Metastatic Histology,metastatic glioblastoma,metastatic glioblastoma,metastatic glioblastoma,NULL
Metastatic Histology,metastatic glioblastoma,metastatic glioblastoma,metastatic high grade glioma,NULL
Metastatic Histology,metastatic leiomyosarcoma,metastatic leiomyosarcoma,metastatic epithelioid leiomyosarcoma,NULL
Metastatic Histology,metastatic leiomyosarcoma,metastatic leiomyosarcoma,metastatic leiomyosarcoma,NULL
Metastatic Histology,metastatic melanoma,metastatic melanoma,metastatic melanoma,NULL
Metastatic Histology,metastatic sarcoma,metastatic sarcoma,metastatic myxoid spindle cell sarcoma,NULL
Metastatic Histology,metastatic sarcoma,metastatic sarcoma,metastatic sarcoma,NULL
Metastatic Histology,metastatic sarcoma,metastatic sarcoma,metastatic spindle cell sarcoma,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,benign neoplasm,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,benign tumor,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,benign unclassified tumor,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,neoplasm benign,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,"neoplasm, benign",NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,tumor benign,NULL
Primary CNS Histology,"neoplasm, benign (8000/0)",8000/0,unclassified tumor benign,NULL
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,blastoma,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,cancer,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,malignancy,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,malignant neoplasm,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,malignant tumor,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,malignant unclassified tumor,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,neoplasm malignant,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,"neoplasm, malignant",TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,tumor malignant,TRUE
Primary CNS Histology,"neoplasm, malignant (8000/3)",8000/3,unclassified tumor malignant,TRUE
Primary CNS Histology,"malignant tumor, spindle cell type (8004/3)",8004/3,fusiform cell type malignant tumor,NULL
Primary CNS Histology,"malignant tumor, spindle cell type (8004/3)",8004/3,malignant tumor fusiform cell type,NULL
Primary CNS Histology,"malignant tumor, spindle cell type (8004/3)",8004/3,malignant tumor spindle cell type,NULL
Primary CNS Histology,"malignant tumor, spindle cell type (8004/3)",8004/3,"malignant tumor, spindle cell type",NULL
Primary CNS Histology,"malignant tumor, spindle cell type (8004/3)",8004/3,spindle cell type malignant tumor,NULL
Primary CNS Histology,bowen disease (8081/2),8081/2,bowen disease,NULL
Primary CNS Histology,bowen disease (8081/2),8081/2,bowen type intraepidermal squamous cell carcinoma,NULL
Primary CNS Histology,bowen disease (8081/2),8081/2,intraepidermal squamous cell carcinoma bowen type,NULL
Primary CNS Histology,basal cell tumor (8090/1),8090/1,basal cell tumor,NULL
Primary CNS Histology,basal cell carcinoma (8090/3),8090/3,basal cell carcinoma,NULL
Primary CNS Histology,basal cell carcinoma (8090/3),8090/3,basal cell carcinoma with adnexal differentiation,NULL
