"classificaiton","data_point_value","vocabulary_code","data_point_value_synonym","favor_more_specific"
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","bones of skull and face and associated joints",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","calvarium",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","cavernous",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","clival",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","condylar",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","cranial bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","ethmoid",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","ethmoid bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","facial bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","frontal bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","hyoid bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","maxilla",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","nasal bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","occipital bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","orbital",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","orbital bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","parietal bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","skull",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","sphenoid",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","sphenoid bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","sphenoid wing",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","temporal bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","upper jaw bone",NULL
"Primary CNS Site","bones of skull and face and associated joints (c41.0)","C41.0","zygomatic bone",NULL
"Primary CNS Site","mandible (c41.1)","C41.1","jaw bone",NULL
"Primary CNS Site","mandible (c41.1)","C41.1","lower jaw bone",NULL
"Primary CNS Site","mandible (c41.1)","C41.1","mandible",NULL
"Primary CNS Site","mandible (c41.1)","C41.1","temporomandibular joint",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","scalp",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of cervical region",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of head",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of neck",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of scalp",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of scalp and neck",NULL
"Primary CNS Site","skin of scalp and neck (c44.4)","C44.4","skin of supraclavicular region",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","cerebral meninges",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","cranial dura mater",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","cranial meninges",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","cranial pia mater",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","falx",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","falx cerebelli",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","falx cerebri",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","intracranial arachnoid",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","intracranial meninges",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","tentorium",NULL
"Primary CNS Site","cerebral meninges (c70.0)","C70.0","tentorium cerebelli",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","intradural",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","intradural extramedullary",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","intramedullary",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","spinal arachnoid",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","spinal dura mater",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","spinal meninges",NULL
"Primary CNS Site","spinal meninges (c70.1)","C70.1","spinal pia mater",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","arachnoid",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","convexity",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","dura",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","dura mater",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","membrane",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","meninges",NULL
"Primary CNS Site","meninges (c70.9)","C70.9","pia mater",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","basal ganglia",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","central white matter",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","cerebral cortex",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","cerebral hemisphere",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","cerebral white matter",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","cerebrum",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","corpus striatum",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","globus pallidus",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","hypothalamus",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","insula",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","insular",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","internal capsule",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","island of reil",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","operculum",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","pallium",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","perithalamic",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","putamen",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","rhinencephalon",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","supratentorial brain",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","thalamic",NULL
"Primary CNS Site","cerebrum (c71.0)","C71.0","thalamus",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","bifrontal",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","frontal",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","frontal lobe",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","frontal pole",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","frontoparietal",NULL
"Primary CNS Site","frontal lobe (c71.1)","C71.1","frontotemporal",NULL
"Primary CNS Site","temporal lobe (c71.2)","C71.2","hippocampus",NULL
"Primary CNS Site","temporal lobe (c71.2)","C71.2","temporal",NULL
"Primary CNS Site","temporal lobe (c71.2)","C71.2","temporal lobe",NULL
"Primary CNS Site","temporal lobe (c71.2)","C71.2","uncus",NULL
"Primary CNS Site","parietal lobe (c71.3)","C71.3","frontoparietal",NULL
"Primary CNS Site","parietal lobe (c71.3)","C71.3","parietal",NULL
"Primary CNS Site","parietal lobe (c71.3)","C71.3","parietal lobe",NULL
"Primary CNS Site","occipital lobe (c71.4)","C71.4","occipital",NULL
"Primary CNS Site","occipital lobe (c71.4)","C71.4","occipital lobe",NULL
"Primary CNS Site","occipital lobe (c71.4)","C71.4","occipital pole",NULL
"Primary CNS Site","occipital lobe (c71.4)","C71.4","suboccipital",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","cerebral ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","choroid plexus",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","choroid plexus of lateral ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","choroid plexus of third ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","ependyma",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","intraventricular",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","lateral ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","third ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","ventricle",NULL
"Primary CNS Site","ventricle (c71.5)","C71.5","ventricular",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cerebellar",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cerebellopontine angle",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cerebellum",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cerebropontine",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cp angle",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","cp angle tumor",NULL
"Primary CNS Site","cerebellum (c71.6)","C71.6","vermis of cerebellum",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","basis pedunculi",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","brain stem",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","brainstem",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","cerebral peduncle",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","choroid plexus of fourth ventricle",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","fourth ventricle",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","infratentorial brain",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","medulla oblongata",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","midbrain",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","olive",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","pons",NULL
